registerRequest,registerRequest_size,registerVerify,registerVerify_size,registerComplete,registerComplete_size
60.799999952316284,470,62,260,58.299999952316284,0
54.299999952316284,464,67,260,53.299999952316284,0
59.5,457,65,260,53.5,0
58.5,464,65.09999990463257,260,53.299999952316284,0
58,459,67.70000004768372,260,53.90000009536743,0
62.10000014305115,456,65.5,260,54.90000009536743,0
60,471,67.20000004768372,260,55,0
55.700000047683716,459,66,260,52.5,0
50.799999952316284,469,65.79999995231628,260,56.90000009536743,0
56.59999990463257,461,68.20000004768372,260,51.40000009536743,0
57.299999952316284,456,67.10000014305115,260,53.09999990463257,0
59.299999952316284,465,66.40000009536743,260,54.700000047683716,0
56.799999952316284,461,65.59999990463257,260,56.30000019073486,0
58.59999990463257,457,67.19999980926514,260,54.90000009536743,0
60.200000047683716,471,59.200000047683716,260,58.5,0
58.90000009536743,460,66,260,52.10000014305115,0
61.90000009536743,466,66,260,54.799999952316284,0
56.700000047683716,464,67.10000014305115,260,51.90000009536743,0
53.30000019073486,457,58.60000014305115,260,53.5,0
53.200000047683716,457,65.29999995231628,260,54.30000019073486,0
60.299999952316284,465,65.60000014305115,260,53,0
58.69999980926514,466,65.70000004768372,260,54.09999990463257,0
59.60000014305115,467,66.09999990463257,260,53.90000009536743,0
56.799999952316284,458,66.40000009536743,260,53.5,0
54,463,66,260,53.200000047683716,0
57.90000009536743,461,65.10000014305115,260,53,0
60.40000009536743,466,65.90000009536743,260,54.5,0
62,467,66.59999990463257,260,55.299999952316284,0
56.90000009536743,459,61.40000009536743,260,58,0
55.60000014305115,467,70.80000019073486,260,54.80000019073486,0
59.30000019073486,461,66.90000009536743,260,54.700000047683716,0
59.40000009536743,466,70.10000014305115,260,53.90000009536743,0
53.700000047683716,467,64.20000004768372,260,50.39999985694885,0
61,471,66.20000004768372,260,54.80000019073486,0
60.80000019073486,463,67.10000014305115,260,54.89999985694885,0
58.10000014305115,460,64.59999990463257,260,51.5,0
56.60000014305115,470,65.19999980926514,260,51.10000014305115,0
62.39999985694885,467,67.70000004768372,260,55.09999990463257,0
60.200000047683716,465,63.299999952316284,260,54.799999952316284,0
61,456,66.09999990463257,260,51.200000047683716,0
55.30000019073486,467,62.60000014305115,260,56.200000047683716,0
57.10000014305115,465,64.29999995231628,260,54.799999952316284,0
59.200000047683716,467,66.90000009536743,260,54.799999952316284,0
59.5,457,68.90000009536743,260,56.700000047683716,0
60.10000014305115,462,67.10000014305115,260,50.799999952316284,0
63.299999952316284,456,62.200000047683716,260,54.799999952316284,0
58.59999990463257,459,65.10000014305115,260,53.200000047683716,0
57.10000014305115,466,65.20000004768372,260,53.19999980926514,0
58.10000014305115,461,65,260,53.299999952316284,0
58.799999952316284,464,65.09999990463257,260,50.59999990463257,0
52.700000047683716,467,70.59999990463257,260,50.09999990463257,0
59.299999952316284,472,65,260,53.59999990463257,0
61.5,465,65.80000019073486,260,54.200000047683716,0
58.39999985694885,464,66.29999995231628,260,54.60000014305115,0
60.69999980926514,458,65.89999985694885,260,57.69999980926514,0
59.59999990463257,461,62.90000009536743,260,57.200000047683716,0
59.40000009536743,464,66.90000009536743,260,54.799999952316284,0
62.700000047683716,460,60.799999952316284,260,53.60000014305115,0
54.59999990463257,468,68.29999995231628,260,53.90000009536743,0
59.200000047683716,464,67.09999990463257,260,54.799999952316284,0
59.59999990463257,462,65.39999985694885,260,56.200000047683716,0
59.30000019073486,462,63.700000047683716,260,54.60000014305115,0
58.89999985694885,457,67.10000014305115,260,54.90000009536743,0
63.19999980926514,459,65.60000014305115,260,51.5,0
58.09999990463257,467,62.799999952316284,260,54.60000014305115,0
57.89999985694885,464,65.79999995231628,260,49.40000009536743,0
